Using  2 timesteps ... 
MNIST data unpickled .....
Proceeding to create training and testing datasets ...
Training started ...
Total error: 0.0530934980927
Total error: 0.0473727618467
Total error: 0.0440679776878
Total error: 0.0417558391018
Total error: 0.0399169543373
Total error: 0.0383032195592
Total error: 0.0368382920438
Total error: 0.0355300517699
Total error: 0.0343285275867
Total error: 0.0332398106626
Total error: 0.0322237394692
Total error: 0.0312924757506
Total error: 0.0304155241924
Total error: 0.0295664652594
Total error: 0.0287690129586
Total error: 0.0279945644518
Total error: 0.0272489941857
Total error: 0.0265445777484
Total error: 0.0258886804945
Total error: 0.0252569255783
Total error: 0.0246750029939
Total error: 0.0241102372712
Total error: 0.0236134350177
Total error: 0.0231263107094
Total error: 0.0226876030885
Total error: 0.0222641913479
Total error: 0.021871975673
Total error: 0.0215056211772
Total error: 0.0211511792478
Total error: 0.0208175351051
Total error: 0.0204979360785
Total error: 0.0201862425711
Total error: 0.0198997622372
Total error: 0.0196182478236
Total error: 0.0193504354038
Total error: 0.0190931746981
Total error: 0.0188487796029
Total error: 0.0186105977586
Total error: 0.0183867520456
Total error: 0.0181680617602
Total error: 0.0179534854744
Total error: 0.0177468193856
Total error: 0.0175445789467
Total error: 0.0173485704135
Total error: 0.0171595529544
Total error: 0.0169737345456
Total error: 0.0167965946413
Total error: 0.0166287555177
Total error: 0.0164626272279
Total error: 0.0163054739254
Total error: 0.016153912778
Total error: 0.0159958061914
Total error: 0.0158436719939
Total error: 0.0156992566869
Total error: 0.0155559660416
Total error: 0.0154144413508
Total error: 0.0152827443414
Total error: 0.0151507654894
Total error: 0.0150204444656
Total error: 0.0148950835632
Total error: 0.0147719534219
Total error: 0.0146535306739
Total error: 0.0145347701913
Total error: 0.0144252575553
Total error: 0.0143160393445
Total error: 0.0142063408781
Total error: 0.0141046762927
Total error: 0.0140004503194
Total error: 0.0138969068307
Total error: 0.0138000537014
Total error: 0.0137054389745
Total error: 0.0136131653012
Total error: 0.0135188719375
Total error: 0.0134307361925
Total error: 0.013339681898
Total error: 0.013256620782
Total error: 0.0131694168309
Total error: 0.013086149726
Total error: 0.0130043742284
Total error: 0.0129242646345
Total error: 0.0128477972356
Total error: 0.0127704372128
Total error: 0.0126959936185
Total error: 0.012622548761
Total error: 0.0125508064684
Total error: 0.0124783882501
Total error: 0.0124080576566
Total error: 0.0123404106477
Total error: 0.0122721363805
Total error: 0.0122034829487
