Using  1 timesteps ... 
MNIST data unpickled .....
Proceeding to create training and testing datasets ...
Training started ...
Total error: 0.0518913600559
Total error: 0.0482683063526
Total error: 0.0457971520443
Total error: 0.0440974823877
Total error: 0.0428400315361
Total error: 0.0418319802298
Total error: 0.0409667730867
Total error: 0.0401727153267
Total error: 0.0394441530954
Total error: 0.0387590278844
Total error: 0.0381021428498
Total error: 0.0374958869004
Total error: 0.036907301714
Total error: 0.0363502961617
Total error: 0.0358022319294
Total error: 0.0352694458004
Total error: 0.034753375227
Total error: 0.0342431755907
Total error: 0.0337447677856
Total error: 0.0332496817664
Total error: 0.0327643760171
Total error: 0.0322825233243
Total error: 0.0318106626351
Total error: 0.0313437717953
Total error: 0.0308809772939
Total error: 0.0304226539789
Total error: 0.0299740498008
Total error: 0.0295447520581
Total error: 0.0291234819065
Total error: 0.028711897206
Total error: 0.0283046447642
Total error: 0.0279156726288
Total error: 0.0275354767915
Total error: 0.0271714276143
Total error: 0.0268076377116
Total error: 0.026458755115
Total error: 0.0261211499778
Total error: 0.0257872563572
Total error: 0.0254584647347
Total error: 0.0251437126514
Total error: 0.0248380474572
Total error: 0.0245376252857
Total error: 0.0242466407507
Total error: 0.0239667204721
Total error: 0.0236894648795
Total error: 0.0234225837332
Total error: 0.0231687298594
Total error: 0.0229145153975
Total error: 0.0226714071623
Total error: 0.0224363055949
Total error: 0.0222074631568
Total error: 0.0219820369678
Total error: 0.0217677838298
Total error: 0.0215543736378
Total error: 0.0213508933397
Total error: 0.0211533579843
Total error: 0.0209606426634
Total error: 0.0207725080109
Total error: 0.0205922236995
Total error: 0.0204091297588
Total error: 0.0202361612427
Total error: 0.0200654308625
Total error: 0.0198975499099
Total error: 0.0197393468461
Total error: 0.0195790413925
Total error: 0.0194241691189
Total error: 0.019271580522
Total error: 0.019121769925
Total error: 0.0189783217586
Total error: 0.0188355223199
Total error: 0.0186943339935
Total error: 0.0185601442327
Total error: 0.0184239445497
Total error: 0.0182920646425
Total error: 0.018164564813
Total error: 0.0180376576772
Total error: 0.0179140844965
Total error: 0.0177898898613
Total error: 0.0176718622983
Total error: 0.0175538075322
Total error: 0.0174390968986
Total error: 0.0173274991123
Total error: 0.0172188606328
Total error: 0.0171123973245
Total error: 0.0170062285732
Total error: 0.0169018104317
Total error: 0.0168033320791
Total error: 0.016703166864
Total error: 0.0166065887783
Total error: 0.0165109834119
Total error: 0.0164172473748
Total error: 0.0163240861909
Total error: 0.0162351806874
Total error: 0.0161457037907
Total error: 0.0160598119641
Total error: 0.0159711341466
Total error: 0.0158882847405
Total error: 0.0158054899417
Total error: 0.0157222742565
Total error: 0.0156420038092
Total error: 0.0155612164984
Total error: 0.0154835702737
Total error: 0.0154066631168
Total error: 0.015331247018
Total error: 0.0152572214703
Total error: 0.0151830406231
Total error: 0.0151132071353
Total error: 0.0150410236873
Total error: 0.0149713536786
Total error: 0.0149034071982
Total error: 0.0148342665019
Total error: 0.0147675783319
Total error: 0.014700928621
Total error: 0.0146346969939
Total error: 0.0145696988502
Total error: 0.0145051744681
Total error: 0.0144429512499
Total error: 0.0143815883294
Total error: 0.0143168683013
Total error: 0.0142571462466
Total error: 0.0141975932852
Total error: 0.0141378710249
Total error: 0.0140797299326
Total error: 0.0140221896716
Total error: 0.0139653674792
Total error: 0.0139108489948
Total error: 0.0138533254819
Total error: 0.0137996429676
Total error: 0.013746015875
Total error: 0.0136928723215
Total error: 0.0136413805142
Total error: 0.013588102589
Total error: 0.0135377073233
Total error: 0.0134879412152
Total error: 0.0134379054984
Total error: 0.0133882929498
Total error: 0.0133397055258
Total error: 0.0132910686801
Total error: 0.0132430985678
Total error: 0.0131959403443
Total error: 0.0131483999733
Total error: 0.0131018529494
Total error: 0.013056684391
Total error: 0.0130102196343
Total error: 0.0129644716184
Total error: 0.0129212515054
Total error: 0.0128758855657
Total error: 0.0128327326729
Total error: 0.0127888334647
Total error: 0.0127460435025
Total error: 0.0127026704123
Total error: 0.0126612556075
Total error: 0.0126205096217
Total error: 0.0125777466747
Total error: 0.0125389541167
Total error: 0.0124966834355
Total error: 0.0124579912243
Total error: 0.0124179976195
Total error: 0.0123798226902
Total error: 0.0123410820296
Total error: 0.0123024016667
Total error: 0.0122650454921
Total error: 0.0122275071854
Total error: 0.0121906126205
Total error: 0.0121545825007
Total error: 0.0121173584386
Total error: 0.0120820726388
Total error: 0.0120459147736
Total error: 0.0120108537523
Total error: 0.0119743733352
Total error: 0.0119430956381
Total error: 0.0119063638993
Total error: 0.0118722866317
Total error: 0.0118382040495
Total error: 0.0118050223372
Total error: 0.0117719520769
Total error: 0.0117391576849
Total error: 0.0117059381116
Total error: 0.0116736778901
Total error: 0.0116404403331
Total error: 0.0116089823866
Total error: 0.0115753701241
Total error: 0.0115438562041
Total error: 0.0115119550585
Total error: 0.0114812758198
Total error: 0.0114482139791
Total error: 0.0114184611267
Total error: 0.0113853535498
Total error: 0.0113553609061
Total error: 0.0113264264588
Total error: 0.0112955733257
Total error: 0.0112658310583
Total error: 0.0112363167886
Total error: 0.0112061212292
Total error: 0.011178942022
Total error: 0.0111503086666
Total error: 0.0111221861975
Total error: 0.011093816511
Total error: 0.0110670016215
Total error: 0.0110381289346
Total error: 0.0110112952608
Total error: 0.0109858116047
Total error: 0.0109590313217
Total error: 0.010933868585
Total error: 0.0109067471707
Total error: 0.0108791692326
Total error: 0.0108541901339
Total error: 0.0108291249286
Total error: 0.0108036590962
Total error: 0.0107787925937
Total error: 0.0107539751563
Total error: 0.0107296244972
Total error: 0.0107047047695
Total error: 0.0106808165302
Total error: 0.0106552939153
Total error: 0.0106321530461
Total error: 0.01060830436
Total error: 0.0105842719811
Total error: 0.0105605632325
Total error: 0.0105377824246
Total error: 0.0105150726474
Total error: 0.0104907387836
Total error: 0.0104684876099
Total error: 0.0104440181981
Total error: 0.0104228553254
Total error: 0.0103992578645
Total error: 0.0103766908059
Total error: 0.0103551542777
Total error: 0.0103328087186
Total error: 0.0103103400434
Total error: 0.0102883330568
Total error: 0.0102670845368
Total error: 0.0102445705318
Total error: 0.010224808975
Total error: 0.0102028487655
Total error: 0.0101818775073
Total error: 0.0101599912677
Total error: 0.0101397184875
Total error: 0.0101188882359
Total error: 0.0100980245911
Total error: 0.0100780710521
Total error: 0.0100578725171
Total error: 0.0100370015289
Total error: 0.0100168373772
Total error: 0.00999735343278
Total error: 0.00997726418233
Total error: 0.0099576810109
Total error: 0.00993850940506
Total error: 0.00991845977305
Total error: 0.00989913888075
Total error: 0.00988071128768
Total error: 0.00986132246286
Total error: 0.00984219313655
Total error: 0.00982415491281
Total error: 0.00980302924084
Total error: 0.00978701952062
Total error: 0.00976722908723
Total error: 0.00975058751523
Total error: 0.00973196772364
Total error: 0.00971400526157
Total error: 0.00969540571166
Total error: 0.00967708879458
Total error: 0.00966080624758
Total error: 0.00964266819394
Total error: 0.0096256402022
Total error: 0.00960828894053
Total error: 0.00959173699944
Total error: 0.00957338052056
Total error: 0.00955846505016
Total error: 0.00954154680611
Total error: 0.00952470568424
Total error: 0.00950752666784
Total error: 0.00948971914659
Total error: 0.00947335418546
Total error: 0.00945930224526
Total error: 0.00944146853005
Total error: 0.00942537998893
Total error: 0.00940996782673
Total error: 0.0093952134454
Total error: 0.00937839202488
Total error: 0.00936265861005
Total error: 0.00934769373342
Total error: 0.00933239389377
Total error: 0.00931680499565
Total error: 0.00930148417577
Total error: 0.00928603085858
Total error: 0.00927067112147
Total error: 0.00925574858022
Total error: 0.00924141470876
Total error: 0.00922564166974
Total error: 0.00921161802131
Total error: 0.00919702220237
Total error: 0.00918212175186
Total error: 0.0091679614024
Total error: 0.00915414671915
Total error: 0.00913957284274
Total error: 0.00912469940953
Total error: 0.00911091423672
Total error: 0.00909574879919
Total error: 0.0090820374633
Total error: 0.00906836589632
Total error: 0.00905424599495
Total error: 0.00904031033032
Total error: 0.0090262743895
Total error: 0.00901230147038
Total error: 0.00899883901527
Total error: 0.00898645131562
Total error: 0.00897242780364
Total error: 0.00895829992784
Total error: 0.00894532055996
Total error: 0.00893036940408
Total error: 0.00891888647552
Total error: 0.00890509128168
Total error: 0.00889208931396
Total error: 0.00887839438675
Total error: 0.00886555385241
Total error: 0.00885112725592
Total error: 0.00884026382502
Total error: 0.0088274200275
Total error: 0.00881397096531
Total error: 0.00880043422029
Total error: 0.00878841331432
Total error: 0.00877617771278
Total error: 0.00876314061675
Total error: 0.00875090610351
Total error: 0.00873788453204
Total error: 0.00872668293563
Total error: 0.00871384847598
Total error: 0.00870108077371
Total error: 0.00869019310206
Total error: 0.00867681836689
Total error: 0.00866606715023
Total error: 0.00865348464667
Total error: 0.00864170192344
Total error: 0.00863009033548
Total error: 0.00861849579118
Total error: 0.00860620313302
Total error: 0.00859425788079
Total error: 0.00858283427829
Total error: 0.00857107364458
Total error: 0.00856022422809
Total error: 0.00854924303955
Total error: 0.00853732950722
Total error: 0.00852553819096
Total error: 0.00851507882664
Total error: 0.0085034496903
Total error: 0.00849229095839
Total error: 0.00848155586149
Total error: 0.00847070275328
Total error: 0.00845936626429
Total error: 0.00844814694882
Total error: 0.00843676544838
Total error: 0.00842652443121
Total error: 0.00841597949187
Total error: 0.00840610457894
Total error: 0.00839410699547
Total error: 0.00838335788483
Total error: 0.00837269620471
Total error: 0.00836326708982
Total error: 0.00835240932107
Total error: 0.00834139804799
Total error: 0.00833136169176
Total error: 0.00832050642614
Total error: 0.00831045069675
Total error: 0.00830066634942
Total error: 0.00828918043171
Total error: 0.00827873356518
Total error: 0.00826948739188
Total error: 0.0082590465228
Total error: 0.00824841493918
Total error: 0.00823921711681
Total error: 0.00822948340573
Total error: 0.00821892507081
Total error: 0.00821005608151
Total error: 0.00820039449979
Total error: 0.00818953863055
Total error: 0.00818013992423
Total error: 0.00817010600454
Total error: 0.00816001770366
Total error: 0.00815090452907
Total error: 0.00814014881023
Total error: 0.00813179515488
Total error: 0.00812185342456
Total error: 0.00811252383248
Total error: 0.00810314700923
Total error: 0.00809362140642
Total error: 0.00808357528655
Total error: 0.00807467563669
Total error: 0.00806615481759
Total error: 0.00805584471104
Total error: 0.00804692269449
Total error: 0.00803751402557
Total error: 0.00802814932229
Total error: 0.00801970088543
Total error: 0.00800991479524
Total error: 0.0080010848038
Total error: 0.0079923247157
Total error: 0.00798283152457
Total error: 0.00797403239171
Total error: 0.00796558595316
Total error: 0.00795632731277
Total error: 0.00794715103877
Total error: 0.00793812239783
Total error: 0.007930144662
Total error: 0.00791983591134
Total error: 0.00791153271449
